point	title	description	icon
334130.536766,188690.263465	GM138	<a target='_new' href='static/monumenten/pdfs/GM138.pdf'>OPEN DOCUMENT</a>	gm.png
334029.740759,188554.146471	GM144	<a target='_new' href='static/monumenten/pdfs/GM144.pdf'>OPEN DOCUMENT</a>	gm.png
333941.811493,188442.325161	GM145	<a target='_new' href='static/monumenten/pdfs/GM145.pdf'>OPEN DOCUMENT</a>	gm.png
333658.336827,188878.753125	GM156	<a target='_new' href='static/monumenten/pdfs/GM156.pdf'>OPEN DOCUMENT</a>	gm.png
334080.736882,188534.655916	GM127	<a target='_new' href='static/monumenten/pdfs/GM127.pdf'>OPEN DOCUMENT</a>	gm.png
334086.679745,188527.571842	GM137	<a target='_new' href='static/monumenten/pdfs/GM137.pdf'>OPEN DOCUMENT</a>	gm.png
330967.313498,185931.948057	GM061	<a target='_new' href='static/monumenten/pdfs/GM061.pdf'>OPEN DOCUMENT</a>	gm.png
337588.313224,182853.405651	GM118	<a target='_new' href='static/monumenten/pdfs/GM118.pdf'>OPEN DOCUMENT</a>	gm.png
331883.749206,188412.735656	GM116	<a target='_new' href='static/monumenten/pdfs/GM116.pdf'>OPEN DOCUMENT</a>	gm.png
337529.642725,182563.979584	GM119	<a target='_new' href='static/monumenten/pdfs/GM119.pdf'>OPEN DOCUMENT</a>	gm.png
337485.171636,182728.829685	GM120	<a target='_new' href='static/monumenten/pdfs/GM120.pdf'>OPEN DOCUMENT</a>	gm.png
337583.489324,182553.086228	GM122	<a target='_new' href='static/monumenten/pdfs/GM122.pdf'>OPEN DOCUMENT</a>	gm.png
334538.047372,188826.247536	GM151	<a target='_new' href='static/monumenten/pdfs/GM151.pdf'>OPEN DOCUMENT</a>	gm.png
334257.202743,188527.626857	GM194	<a target='_new' href='static/monumenten/pdfs/GM194.pdf'>OPEN DOCUMENT</a>	gm.png
334805.873717,188230.748916	GM221	<a target='_new' href='static/monumenten/pdfs/GM221.pdf'>OPEN DOCUMENT</a>	gm.png
334907.00926,188292.005778	GM232	<a target='_new' href='static/monumenten/pdfs/GM232.pdf'>OPEN DOCUMENT</a>	gm.png
334926.321591,190393.142651	GM234	<a target='_new' href='static/monumenten/pdfs/GM234.pdf'>OPEN DOCUMENT</a>	gm.png
334347.920345,188878.00288	GM018	<a target='_new' href='static/monumenten/pdfs/GM018.pdf'>OPEN DOCUMENT</a>	gm.png
334377.532337,188884.38816	GM179	<a target='_new' href='static/monumenten/pdfs/GM179.pdf'>OPEN DOCUMENT</a>	gm.png
334442.108943,188905.442575	GM188	<a target='_new' href='static/monumenten/pdfs/GM188.pdf'>OPEN DOCUMENT</a>	gm.png
334026.277835,188404.940383	GM196	<a target='_new' href='static/monumenten/pdfs/GM196.pdf'>OPEN DOCUMENT</a>	gm.png
334308.200423,189035.404173	GM199	<a target='_new' href='static/monumenten/pdfs/GM199.pdf'>OPEN DOCUMENT</a>	gm.png
334251.302128,189114.406529	GM202	<a target='_new' href='static/monumenten/pdfs/GM202.pdf'>OPEN DOCUMENT</a>	gm.png
334061.27701,188174.479691	GM216	<a target='_new' href='static/monumenten/pdfs/GM216.pdf'>OPEN DOCUMENT</a>	gm.png
334658.203347,188354.00784	GM224	<a target='_new' href='static/monumenten/pdfs/GM224.pdf'>OPEN DOCUMENT</a>	gm.png
337547.760339,185145.606991	GM002	<a target='_new' href='static/monumenten/pdfs/GM002.pdf'>OPEN DOCUMENT</a>	gm.png
331297.083761,185936.582028	GM059	<a target='_new' href='static/monumenten/pdfs/GM059.pdf'>OPEN DOCUMENT</a>	gm.png
334618.04969,189234.362897	GM226	<a target='_new' href='static/monumenten/pdfs/GM226.pdf'>OPEN DOCUMENT</a>	gm.png
334343.342259,188283.795553	GM212	<a target='_new' href='static/monumenten/pdfs/GM212.pdf'>OPEN DOCUMENT</a>	gm.png
334962.068929,189784.203238	GM225	<a target='_new' href='static/monumenten/pdfs/GM225.pdf'>OPEN DOCUMENT</a>	gm.png
334221.098337,188699.20574	GM134	<a target='_new' href='static/monumenten/pdfs/GM134.pdf'>OPEN DOCUMENT</a>	gm.png
